,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,relation,topic_a,topic_b
0,53.0,86.0,247.0,176.0,2.0,3.0,4.0,0.0,2.0,3.0,-0.0120585701981,0.0,0.0,0.0,0.348191034032,0.0283400809717,0.0397727272727,0.316638350487,0.979204545882,0.140652553129,0.6,6.67078358047,1.07257284415,0.761114511324,1.12537516399,1.78348918278,819.0,1179.0,0.0,0.0,0.0,0.0,120.0,161.0,7.0,-5.4252411597e-05,1.96644281765e-05,4.727588223e-07,0.0,Parallelogram,Rotational symmetry
1,184.0,61.0,642.0,147.0,1.0,3.0,11.0,0.0,0.0,1.0,-0.171570365119,1.0,0.0,0.0,0.374449940213,0.0202492211838,0.0884353741497,0.382709943218,0.911094661623,0.153472948153,0.714285714286,6.51467423007,0.571105504135,1.20641612637,1.02995018643,1.39454719002,2545.0,1745.0,0.0,20.0,0.0,0.0114613180516,341.0,186.0,25.0,0.000336263963038,2.50093103822e-05,8.08727902774e-06,0.0,Angle,Isosceles triangle
2,184.0,262.0,642.0,331.0,1.0,9.0,35.0,1.0,0.0,0.0,-0.0975431412694,1.0,0.0,0.0,0.259751450247,0.082554517134,0.160120845921,0.439806222916,0.830583723355,0.150099952305,0.785714285714,7.10833099757,0.571105504135,0.367721131372,0.645895911025,0.401530696909,2545.0,7201.0,0.0,35.0,0.0,0.00486043605055,341.0,713.0,75.0,0.000245013056042,1.77156028851e-05,4.91481973122e-06,0.0,Angle,Pythagorean theorem
3,42.0,40.0,333.0,10.0,3.0,2.0,6.0,0.0,0.0,0.0,-0.170731707317,0.0,0.0,0.0,0.390393267051,0.00600600600601,0.2,0.952585867933,0.997612376237,0.18272894375,0.666666666667,7.98716536067,0.912538789746,1.00123640309,0.754876883032,1.74060093802,451.0,1486.0,0.0,0.0,0.0,0.0,67.0,141.0,7.0,7.6098281654e-06,5.90267186393e-06,1.8279276592e-06,0.0,Edge (geometry),Acute and obtuse triangles
4,141.0,197.0,621.0,286.0,5.0,3.0,18.0,1.0,1.0,2.0,0.0167164603784,0.0,0.0,0.0,0.314300193333,0.0466988727858,0.101398601399,0.319598276591,0.897246864115,0.110387564498,0.5,6.68471870031,0.33114376995,0.359998907604,0.408254531386,0.337588729793,5148.0,3606.0,21.0,0.0,0.00407925407925,0.0,555.0,374.0,79.0,1.79496652133e-05,2.05851727437e-05,6.73053466138e-06,1.0,Cartesian coordinate system,Line (geometry)
5,238.0,75.0,766.0,276.0,2.0,2.0,9.0,0.0,1.0,2.0,-0.147501105705,0.0,1.0,0.0,0.260297202749,0.0783289817232,0.217391304348,0.33581328392,0.839965179546,0.167022829371,0.846153846154,7.23750728985,0.895357258755,0.629618109291,1.06836597939,0.679901531537,1704.0,1067.0,0.0,2.0,0.0,0.00187441424555,254.0,152.0,22.0,8.2828699751e-05,4.71450355692e-05,1.48099564703e-06,1.0,Polygon,Line segment
6,184.0,145.0,642.0,308.0,1.0,3.0,13.0,0.0,2.0,1.0,-0.109438506699,0.0,0.0,0.0,0.33548643387,0.0389408099688,0.0811688311688,0.470431092926,0.874787087287,0.148740712199,0.823529411765,6.42893350129,0.571105504135,0.334024888401,0.586657448679,0.375419301292,2545.0,1601.0,0.0,3.0,0.0,0.00187382885696,341.0,236.0,40.0,0.000340761725571,2.47094384961e-05,7.70891144788e-06,0.0,Angle,Two-dimensional space
7,181.0,145.0,293.0,308.0,2.0,3.0,53.0,0.0,0.0,2.0,0.00188167996387,0.0,0.0,0.0,0.242972510521,0.098976109215,0.0941558441558,0.366930023798,0.782004170844,0.169052923707,0.727272727273,7.36176920108,0.173039587189,0.334024888401,0.225476547406,0.284359647964,1133.0,1601.0,0.0,12.0,0.0,0.00749531542786,170.0,236.0,32.0,-5.23629582287e-05,3.86983554325e-06,3.15188952955e-06,0.0,Point (geometry),Two-dimensional space
8,120.0,363.0,1016.0,3440.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0303105984924,0.0,0.0,0.0,0.770392477073,0.00492125984252,0.00145348837209,0.709149820158,0.961994631985,0.186406744127,0.733333333333,1.94732829701,1.63888245253,0.413534915182,1.3290441588,1.42729950341,1162.0,3650.0,1.0,0.0,0.000860585197935,0.0,213.0,665.0,16.0,-6.48557255609e-05,-4.6008287223e-05,-2.08449180948e-05,1.0,Grade (slope),Geometry
9,142.0,61.0,273.0,347.0,2.0,2.0,2.0,0.0,1.0,0.0,-0.0213539300318,0.0,0.0,0.0,0.243340705422,0.117216117216,0.0922190201729,0.508588075638,0.849047453996,0.169437095092,0.705882352941,7.41168509075,1.01480047648,0.462097671857,1.01658616845,0.986621610611,3151.0,1931.0,1.0,0.0,0.000317359568391,0.0,305.0,232.0,24.0,-5.21632096385e-05,-4.8032290104e-06,-7.7525615373e-07,0.0,Quadrilateral,Parallel (geometry)
10,160.0,61.0,490.0,98.0,2.0,2.0,16.0,0.0,0.0,1.0,-0.164699792961,0.0,0.0,0.0,0.572507608592,0.00204081632653,0.0102040816327,0.46159335742,0.915221165738,0.179710875305,0.846153846154,4.62537289331,0.574789784341,0.624855818539,0.648373957945,0.557403160616,1704.0,1309.0,0.0,0.0,0.0,0.0,204.0,175.0,26.0,1.9560045227e-06,4.00836493187e-05,7.1643758314e-06,0.0,Perpendicular,Cone
11,75.0,76.0,276.0,126.0,2.0,1.0,21.0,1.0,2.0,1.0,-0.115686944634,0.0,0.0,0.0,0.323904811047,0.0326086956522,0.0714285714286,0.264263570309,0.830647952189,0.113433153047,0.583333333333,7.14528756775,0.629618109291,1.31423857196,1.73155138236,1.93708123662,1067.0,2083.0,0.0,9.0,0.0,0.00432069131061,152.0,227.0,44.0,-7.5268773606e-07,-2.4858044e-09,2.62011822323e-06,0.0,Line segment,Bisection
12,184.0,100.0,642.0,31.0,1.0,1.0,10.0,0.0,1.0,0.0,-0.101240343815,0.0,0.0,0.0,0.390353611393,0.00934579439252,0.193548387097,0.329573054884,0.94883273429,0.174350570072,0.75,7.29792972413,0.571105504135,0.869378525382,0.674616989611,0.883913775708,2545.0,1633.0,0.0,0.0,0.0,0.0,341.0,189.0,24.0,0.000343578632544,3.33629142695e-05,8.59000855796e-06,0.0,Angle,Collinearity
13,75.0,30.0,73.0,177.0,3.0,1.0,4.0,0.0,2.0,0.0,0.0466893039049,0.0,0.0,0.0,0.3409895392,0.0547945205479,0.0225988700565,0.308468855437,0.826871585535,0.200995733278,0.882352941176,7.32443095048,0.95049374632,0.477703774001,0.972580396586,0.66801379874,1251.0,641.0,0.0,0.0,0.0,0.0,153.0,92.0,17.0,1.04249550796e-05,-1.24244798947e-05,-8.82658531582e-07,0.0,Midpoint,Arc (geometry)
14,42.0,61.0,333.0,147.0,3.0,3.0,6.0,0.0,0.0,0.0,-0.105776444111,0.0,0.0,0.0,0.291479017037,0.048048048048,0.108843537415,0.291209893895,0.937064178786,0.162766196679,0.684210526316,7.37875940856,0.912538789746,1.20641612637,1.47404598203,1.34230104917,451.0,1745.0,0.0,0.0,0.0,0.0,67.0,186.0,9.0,1.396338246e-07,-3.49312934127e-06,1.02696640852e-06,0.0,Edge (geometry),Isosceles triangle
