,topic_a,topic_b
0,Cloud computing,Object-oriented programming
1,Compiler,Cloud computing
2,Cloud computing,Network service
3,Cloud computing,Software development
4,Cloud computing,Information retrieval
5,Cloud computing,Graphical model
6,Systems programming,Cloud computing
7,Assembly language,Cloud computing
8,Cloud computing,Database
9,Cloud computing,Computational geometry
10,Cloud computing,Social network analysis
11,Cloud computing,Wireless network
12,Distributed object,Cloud computing
13,Cloud computing,Cryptography
14,Cloud computing,Natural language processing
15,Cloud computing,Distributed computing
16,Cloud computing,Computer network
17,Cloud computing,Data mining
18,Cloud computing,Robotics
19,Information security,Cloud computing
20,Computational linguistics,Cloud computing
21,Cloud computing,Software engineering
22,Cloud computing,Operating system
23,Data integration,Cloud computing
24,Cloud computing,Theory of computation
25,Cloud computing,Software architecture
26,Data-intensive computing,Cloud computing
27,Cloud computing,Network security
28,Cloud computing,Computer security
29,Computer-aided software engineering,Cloud computing
30,Cloud computing,Computer graphics
31,Cloud computing,Computer architecture
32,Cloud computing,Computer vision
33,Cloud computing,Software project management
34,Cloud computing,Modeling language
35,Cloud computing,Algorithm
36,Microarchitecture,Cloud computing
37,Cloud computing,Programming language
38,Object-oriented analysis and design,Cloud computing
39,Cloud computing,Machine learning
40,Knowledge management,Cloud computing
41,Data warehouse,Cloud computing
42,Cloud computing,Parallel computing
43,Cloud computing,Discrete mathematics
44,Parallel processing (DSP implementation),Cloud computing
45,Cloud computing,Combinatorial optimization
46,Cloud computing,Artificial intelligence
47,Cloud computing,Data structure
48,Mobile app development,Cloud computing
49,Cloud computing,Analysis of algorithms
50,Cloud computing,Object-oriented design
51,Test automation,Cloud computing
53,Translator (computing),Object-oriented programming
54,Object-oriented programming,Compiler
55,Object-oriented programming,Network service
56,Object-oriented programming,Software development
57,Object-oriented programming,Information retrieval
58,Object-oriented programming,Graphical model
59,Assembly language,Object-oriented programming
60,Object-oriented programming,Database
61,Object-oriented programming,Game theory
62,Object-oriented programming,Computational geometry
63,Distributed object,Object-oriented programming
64,Software metric,Object-oriented programming
65,Object-oriented programming,Cryptography
66,Object-oriented programming,Natural language processing
67,Distributed computing,Object-oriented programming
68,Object-oriented programming,Software testing
69,Object-oriented programming,Computer network
70,Object-oriented programming,Data mining
71,Object-oriented programming,Robotics
72,Object-oriented programming,Information security
73,Computational linguistics,Object-oriented programming
74,Object-oriented programming,Software engineering
75,Object-oriented programming,Operating system
76,Data integration,Object-oriented programming
77,Object-oriented programming,Theory of computation
78,Software architecture,Object-oriented programming
79,Data-intensive computing,Object-oriented programming
80,Object-oriented programming,Network security
81,Object-oriented programming,Computer security
82,Computer-aided software engineering,Object-oriented programming
83,Object-oriented programming,Computer graphics
84,Object-oriented programming,Computer architecture
85,Object-oriented programming,Computer vision
86,Software project management,Object-oriented programming
87,Modeling language,Object-oriented programming
88,Object-oriented programming,Algorithm
89,Microarchitecture,Object-oriented programming
