,topic_a,topic_b
0,Data-intensive computing,Parallel computing
1,Data-intensive computing,Modeling language
2,Data-intensive computing,Cloud computing
3,Data-intensive computing,Software testing
4,Data-intensive computing,Data structure
5,Data-intensive computing,Assembly language
6,Data-intensive computing,Knowledge management
7,Data-intensive computing,Computer graphics
8,Data-intensive computing,Computational geometry
9,Data-intensive computing,Algorithm
10,Data-intensive computing,Object-oriented programming
11,Data-intensive computing,Machine learning
12,Data-intensive computing,Software project management
13,Data-intensive computing,Graphical model
14,Data-intensive computing,Data integration
15,Data-intensive computing,Software architecture
16,Data-intensive computing,Compiler
17,Data-intensive computing,Distributed computing
18,Data-intensive computing,Cryptography
19,Data-intensive computing,Artificial intelligence
20,Data-intensive computing,Operating system
21,Data-intensive computing,Data warehouse
22,Data-intensive computing,Computer architecture
23,Data-intensive computing,Software development
24,Data-intensive computing,Programming language
25,Data-intensive computing,Theory of computation
26,Data-intensive computing,Computer network
27,Data-intensive computing,Analysis of algorithms
28,Data-intensive computing,Data mining
29,Data-intensive computing,Computer security
30,Data-intensive computing,Software engineering
31,Data-intensive computing,Database
32,Data-intensive computing,Parallel computing
33,Modeling language,Parallel computing
34,Cloud computing,Parallel computing
35,Software testing,Parallel computing
36,Wireless network,Parallel computing
37,Data structure,Parallel computing
38,Assembly language,Parallel computing
39,Network security,Parallel computing
40,Knowledge management,Parallel computing
41,Object-oriented analysis and design,Parallel computing
42,Parallel computing,Computer graphics
43,Parallel computing,Algorithm
44,Object-oriented programming,Parallel computing
45,Software project management,Parallel computing
46,Graphical model,Parallel computing
47,Data integration,Parallel computing
48,Software architecture,Parallel computing
49,Parallel computing,Compiler
50,Distributed object,Parallel computing
51,Information security,Parallel computing
52,Translator (computing),Parallel computing
53,Distributed computing,Parallel computing
54,Cryptography,Parallel computing
55,Broadband networks,Parallel computing
56,Artificial intelligence,Parallel computing
57,Natural language processing,Parallel computing
58,Computer vision,Parallel computing
59,Object-oriented design,Parallel computing
60,Combinatorial optimization,Parallel computing
61,Social network analysis,Parallel computing
62,Computational linguistics,Parallel computing
63,Network service,Parallel computing
64,Game theory,Parallel computing
65,Computer-aided software engineering,Parallel computing
66,Data warehouse,Parallel computing
67,Computer architecture,Parallel computing
68,Parallel computing,Software development
69,Parallel computing,Programming language
70,Parallel computing,Theory of computation
71,Parallel computing,Computer network
72,Software metric,Parallel computing
73,Analysis of algorithms,Parallel computing
74,Internet protocol suite,Parallel computing
75,Data mining,Parallel computing
76,Software analytics,Parallel computing
77,Discrete mathematics,Parallel computing
78,Test automation,Parallel computing
79,Computer security,Parallel computing
80,Software engineering,Parallel computing
81,Information retrieval,Parallel computing
82,Robotics,Parallel computing
83,Microarchitecture,Parallel computing
84,Data-intensive computing,Modeling language
85,Modeling language,Parallel computing
86,Cloud computing,Modeling language
87,Modeling language,Software testing
88,Wireless network,Modeling language
89,Modeling language,Data structure
90,Assembly language,Modeling language
91,Network security,Modeling language
92,Object-oriented analysis and design,Modeling language
93,Modeling language,Computer graphics
94,Computational geometry,Modeling language
95,Modeling language,Algorithm
96,Modeling language,Object-oriented programming
97,Machine learning,Modeling language
98,Software project management,Modeling language
99,Graphical model,Modeling language
100,Data integration,Modeling language
101,Modeling language,Software architecture
102,Modeling language,Compiler
103,Distributed object,Modeling language
104,Information security,Modeling language
105,Distributed computing,Modeling language
106,Cryptography,Modeling language
107,Broadband networks,Modeling language
108,Natural language processing,Modeling language
109,Modeling language,Computer vision
110,Object-oriented design,Modeling language
111,Combinatorial optimization,Modeling language
112,Social network analysis,Modeling language
113,Computational linguistics,Modeling language
114,Network service,Modeling language
115,Game theory,Modeling language
116,Computer-aided software engineering,Modeling language
117,Data warehouse,Modeling language
118,Modeling language,Computer architecture
119,Modeling language,Software development
120,Modeling language,Programming language
121,Modeling language,Theory of computation
122,Modeling language,Computer network
123,Software metric,Modeling language
124,Analysis of algorithms,Modeling language
125,Internet protocol suite,Modeling language
126,Data mining,Modeling language
127,Software analytics,Modeling language
128,Discrete mathematics,Modeling language
129,Test automation,Modeling language
130,Computer security,Modeling language
131,Modeling language,Software engineering
132,Information retrieval,Modeling language
133,Modeling language,Database
134,Robotics,Modeling language
135,Microarchitecture,Modeling language
136,Mobile app development,Cloud computing
137,Mobile app development,Computer graphics
138,Mobile app development,Algorithm
139,Mobile app development,Graphical model
140,Mobile app development,Compiler
141,Mobile app development,Distributed computing
142,Mobile app development,Operating system
143,Mobile app development,Computer architecture
144,Mobile app development,Computer network
145,Mobile app development,Database
146,Data-intensive computing,Cloud computing
147,Cloud computing,Parallel computing
148,Cloud computing,Modeling language
149,Mobile app development,Cloud computing
150,Cloud computing,Wireless network
151,Cloud computing,Data structure
152,Assembly language,Cloud computing
153,Cloud computing,Network security
154,Parallel processing (DSP implementation),Cloud computing
155,Knowledge management,Cloud computing
156,Object-oriented analysis and design,Cloud computing
157,Cloud computing,Computer graphics
158,Cloud computing,Computational geometry
159,Cloud computing,Algorithm
160,Cloud computing,Object-oriented programming
161,Cloud computing,Machine learning
162,Cloud computing,Software project management
163,Cloud computing,Graphical model
164,Data integration,Cloud computing
165,Cloud computing,Software architecture
166,Compiler,Cloud computing
167,Distributed object,Cloud computing
168,Cloud computing,Information security
169,Cloud computing,Distributed computing
170,Cloud computing,Cryptography
171,Cloud computing,Artificial intelligence
172,Cloud computing,Natural language processing
173,Cloud computing,Computer vision
174,Cloud computing,Object-oriented design
175,Cloud computing,Combinatorial optimization
176,Cloud computing,Social network analysis
177,Computational linguistics,Cloud computing
178,Cloud computing,Network service
179,Cloud computing,Operating system
180,Computer-aided software engineering,Cloud computing
181,Data warehouse,Cloud computing
182,Systems programming,Cloud computing
183,Cloud computing,Computer architecture
184,Cloud computing,Software development
185,Cloud computing,Programming language
186,Cloud computing,Theory of computation
187,Cloud computing,Computer network
188,Cloud computing,Analysis of algorithms
189,Cloud computing,Data mining
190,Cloud computing,Discrete mathematics
191,Test automation,Cloud computing
192,Cloud computing,Computer security
193,Cloud computing,Software engineering
194,Cloud computing,Information retrieval
195,Cloud computing,Database
196,Cloud computing,Robotics
197,Microarchitecture,Cloud computing
198,Data-intensive computing,Software testing
199,Software testing,Parallel computing
200,Modeling language,Software testing
201,Software testing,Wireless network
202,Software testing,Data structure
203,Assembly language,Software testing
204,Software testing,Network security
205,Software testing,Knowledge management
206,Object-oriented analysis and design,Software testing
207,Software testing,Computer graphics
208,Software testing,Computational geometry
209,Software testing,Algorithm
210,Object-oriented programming,Software testing
211,Software testing,Machine learning
212,Software project management,Software testing
213,Software testing,Graphical model
214,Software testing,Data integration
215,Software architecture,Software testing
216,Software testing,Compiler
217,Distributed object,Software testing
218,Software testing,Information security
219,Software testing,Distributed computing
220,Software testing,Cryptography
221,Software testing,Artificial intelligence
222,Software testing,Natural language processing
223,Software testing,Computer vision
224,Object-oriented design,Software testing
225,Combinatorial optimization,Software testing
226,Software testing,Social network analysis
227,Software testing,Network service
228,Software testing,Operating system
229,Software testing,Game theory
230,Software testing,Information management
231,Computer-aided software engineering,Software testing
232,Software testing,Data warehouse
233,Software testing,Computer architecture
234,Software testing,Software development
235,Software testing,Programming language
236,Software testing,Theory of computation
237,Software testing,Computer network
238,Software metric,Software testing
239,Software testing,Analysis of algorithms
240,Software testing,Internet protocol suite
241,Software testing,Data mining
242,Software analytics,Software testing
243,Software testing,Discrete mathematics
244,Test automation,Software testing
245,Software testing,Computer security
246,Software testing,Software engineering
247,Software testing,Information retrieval
248,Software testing,Database
249,Software testing,Robotics
250,Software testing,Microarchitecture
251,Wireless network,Parallel computing
252,Wireless network,Modeling language
253,Cloud computing,Wireless network
254,Software testing,Wireless network
255,Wireless network,Network security
256,Wireless network,Computer graphics
257,Wireless network,Computational geometry
258,Wireless network,Algorithm
259,Wireless network,Machine learning
260,Wireless network,Compiler
261,Distributed object,Wireless network
262,Wireless network,Information security
263,Wireless network,Distributed computing
264,Wireless network,Cryptography
265,Broadband networks,Wireless network
266,Wireless network,Artificial intelligence
267,Wireless network,Natural language processing
268,Wireless network,Computer vision
269,Wireless network,Combinatorial optimization
270,Wireless network,Social network analysis
271,Computational linguistics,Wireless network
272,Wireless network,Network service
273,Wireless network,Operating system
274,Wireless network,Computer architecture
275,Wireless network,Software development
276,Wireless network,Programming language
277,Wireless network,Theory of computation
278,Wireless network,Computer network
279,Wireless network,Analysis of algorithms
280,Internet protocol suite,Wireless network
281,Wireless network,Data mining
282,Wireless network,Discrete mathematics
283,Wireless network,Computer security
284,Software engineering,Wireless network
285,Wireless network,Information retrieval
286,Wireless network,Database
287,Data-intensive computing,Data structure
288,Data structure,Parallel computing
289,Modeling language,Data structure
290,Cloud computing,Data structure
291,Software testing,Data structure
292,Data structure,Network security
293,Knowledge management,Data structure
294,Object-oriented analysis and design,Data structure
295,Computer graphics,Data structure
296,Data structure,Computational geometry
297,Data structure,Algorithm
298,Data structure,Object-oriented programming
299,Data structure,Machine learning
300,Software project management,Data structure
301,Data integration,Data structure
302,Software architecture,Data structure
303,Data structure,Compiler
304,Distributed object,Data structure
305,Information security,Data structure
306,Translator (computing),Data structure
307,Distributed computing,Data structure
308,Data structure,Cryptography
309,Data structure,Artificial intelligence
310,Data structure,Natural language processing
311,Computer vision,Data structure
312,Object-oriented design,Data structure
313,Combinatorial optimization,Data structure
314,Social network analysis,Data structure
315,Computational linguistics,Data structure
316,Network service,Data structure
317,Data structure,Operating system
318,Game theory,Data structure
319,Information management,Data structure
320,Computer-aided software engineering,Data structure
321,Data warehouse,Data structure
322,Data structure,Computer architecture
323,Data structure,Software development
324,Data structure,Programming language
325,Theory of computation,Data structure
326,Data structure,Computer network
327,Software metric,Data structure
328,Data structure,Analysis of algorithms
329,Data mining,Data structure
330,Software analytics,Data structure
331,Discrete mathematics,Data structure
332,Test automation,Data structure
333,Computer security,Data structure
334,Data structure,Software engineering
335,Information retrieval,Data structure
336,Data structure,Database
337,Microarchitecture,Data structure
338,Data-intensive computing,Assembly language
339,Assembly language,Parallel computing
340,Assembly language,Modeling language
341,Assembly language,Cloud computing
342,Assembly language,Software testing
343,Assembly language,Network security
344,Assembly language,Computer graphics
345,Assembly language,Computational geometry
346,Assembly language,Algorithm
347,Assembly language,Object-oriented programming
348,Assembly language,Machine learning
349,Assembly language,Software architecture
350,Assembly language,Compiler
351,Distributed object,Assembly language
352,Assembly language,Information security
353,Translator (computing),Assembly language
354,Assembly language,Distributed computing
355,Assembly language,Cryptography
356,Assembly language,Artificial intelligence
357,Assembly language,Natural language processing
358,Assembly language,Computer vision
359,Object-oriented design,Assembly language
360,Computational linguistics,Assembly language
361,Assembly language,Network service
362,Assembly language,Operating system
363,Data warehouse,Assembly language
364,Assembly language,Computer architecture
365,Assembly language,Software development
366,Assembly language,Programming language
367,Assembly language,Theory of computation
368,Assembly language,Computer network
369,Assembly language,Analysis of algorithms
370,Assembly language,Data mining
371,Assembly language,Discrete mathematics
372,Test automation,Assembly language
373,Assembly language,Computer security
374,Assembly language,Software engineering
375,Assembly language,Information retrieval
376,Assembly language,Database
377,Microarchitecture,Assembly language
378,Network security,Parallel computing
379,Network security,Modeling language
380,Cloud computing,Network security
381,Software testing,Network security
382,Wireless network,Network security
383,Data structure,Network security
384,Assembly language,Network security
385,Knowledge management,Network security
386,Object-oriented analysis and design,Network security
387,Network security,Computer graphics
388,Network security,Computational geometry
389,Network security,Algorithm
390,Object-oriented programming,Network security
391,Network security,Machine learning
392,Software project management,Network security
393,Graphical model,Network security
394,Data integration,Network security
395,Software architecture,Network security
396,Network security,Compiler
397,Distributed object,Network security
398,Network security,Information security
399,Network security,Distributed computing
400,Network security,Cryptography
401,Broadband networks,Network security
402,Network security,Artificial intelligence
403,Network security,Natural language processing
404,Network security,Computer vision
405,Combinatorial optimization,Network security
406,Social network analysis,Network security
407,Computational linguistics,Network security
408,Network security,Network service
409,Network security,Operating system
410,Game theory,Network security
411,Computer-aided software engineering,Network security
412,Data warehouse,Network security
413,Network security,Computer architecture
414,Network security,Software development
415,Network security,Programming language
416,Network security,Theory of computation
417,Network security,Computer network
418,Software metric,Network security
419,Network security,Analysis of algorithms
420,Internet protocol suite,Network security
421,Network security,Data mining
422,Software analytics,Network security
423,Network security,Discrete mathematics
424,Test automation,Network security
425,Network security,Computer security
426,Software engineering,Network security
427,Network security,Information retrieval
428,Network security,Database
429,Robotics,Network security
430,Microarchitecture,Network security
431,Parallel processing (DSP implementation),Cloud computing
432,Parallel processing (DSP implementation),Computer graphics
433,Parallel processing (DSP implementation),Algorithm
434,Parallel processing (DSP implementation),Graphical model
435,Parallel processing (DSP implementation),Compiler
436,Parallel processing (DSP implementation),Distributed computing
437,Parallel processing (DSP implementation),Operating system
438,Parallel processing (DSP implementation),Computer architecture
439,Parallel processing (DSP implementation),Computer network
440,Parallel processing (DSP implementation),Database
441,Data-intensive computing,Knowledge management
442,Knowledge management,Parallel computing
443,Knowledge management,Cloud computing
444,Software testing,Knowledge management
445,Knowledge management,Data structure
446,Knowledge management,Network security
447,Object-oriented analysis and design,Knowledge management
448,Knowledge management,Computer graphics
449,Knowledge management,Computational geometry
450,Knowledge management,Algorithm
451,Knowledge management,Object-oriented programming
452,Knowledge management,Machine learning
453,Data integration,Knowledge management
454,Software architecture,Knowledge management
455,Knowledge management,Compiler
456,Knowledge management,Information security
457,Knowledge management,Distributed computing
458,Knowledge management,Cryptography
459,Knowledge management,Artificial intelligence
460,Knowledge management,Natural language processing
461,Knowledge management,Computer vision
462,Knowledge management,Combinatorial optimization
463,Knowledge management,Social network analysis
464,Computational linguistics,Knowledge management
465,Knowledge management,Network service
466,Knowledge management,Operating system
467,Information management,Knowledge management
468,Computer-aided software engineering,Knowledge management
469,Knowledge management,Data warehouse
470,Knowledge management,Computer architecture
471,Knowledge management,Software development
472,Knowledge management,Programming language
473,Knowledge management,Theory of computation
474,Knowledge management,Computer network
475,Knowledge management,Analysis of algorithms
476,Knowledge management,Data mining
477,Knowledge management,Discrete mathematics
478,Knowledge management,Computer security
479,Software engineering,Knowledge management
480,Knowledge management,Information retrieval
481,Knowledge management,Database
482,Object-oriented analysis and design,Parallel computing
483,Object-oriented analysis and design,Modeling language
484,Object-oriented analysis and design,Cloud computing
485,Object-oriented analysis and design,Software testing
486,Object-oriented analysis and design,Data structure
487,Object-oriented analysis and design,Network security
488,Object-oriented analysis and design,Knowledge management
489,Object-oriented analysis and design,Computer graphics
490,Object-oriented analysis and design,Computational geometry
491,Object-oriented analysis and design,Algorithm
492,Object-oriented analysis and design,Object-oriented programming
493,Object-oriented analysis and design,Machine learning
494,Object-oriented analysis and design,Software project management
495,Object-oriented analysis and design,Software architecture
496,Object-oriented analysis and design,Compiler
497,Distributed object,Object-oriented analysis and design
498,Object-oriented analysis and design,Information security
499,Object-oriented analysis and design,Distributed computing
500,Object-oriented analysis and design,Cryptography
501,Object-oriented analysis and design,Artificial intelligence
502,Object-oriented analysis and design,Natural language processing
503,Object-oriented analysis and design,Computer vision
504,Object-oriented design,Object-oriented analysis and design
505,Object-oriented analysis and design,Network service
506,Object-oriented analysis and design,Operating system
507,Object-oriented analysis and design,Computer-aided software engineering
508,Object-oriented analysis and design,Computer architecture
509,Object-oriented analysis and design,Software development
510,Object-oriented analysis and design,Programming language
511,Object-oriented analysis and design,Theory of computation
512,Object-oriented analysis and design,Computer network
513,Object-oriented analysis and design,Software metric
514,Object-oriented analysis and design,Analysis of algorithms
