,topic_a,topic_b
0,Abstract algebra,Differential topology
1,Trigonometry,Differential topology
2,Von Neumann algebra,Differential topology
3,Linear algebra,Differential topology
4,Linear programming,Differential topology
5,Analytic geometry,Differential topology
6,Ordinary differential equation,Differential topology
7,Multivariable calculus,Differential topology
8,Lie theory,Differential topology
9,Fourier analysis,Differential topology
10,Differential equation,Differential topology
11,Finite element method,Differential topology
12,Statistics,Differential topology
13,Mathematical logic,Differential topology
14,Group theory,Differential topology
15,Algebraic number theory,Differential topology
16,Field (mathematics),Differential topology
17,Differential topology,Calculus
18,Differentiable manifold,Differential topology
19,Stochastic process,Differential topology
20,Analytical mechanics,Differential topology
21,Differential topology,Algebra
22,Analytic number theory,Differential topology
23,Ergodic theory,Differential topology
24,Mathematical statistics,Differential topology
25,Matrix (mathematics),Differential topology
26,Differential topology,Fourier series
27,Mathematical model,Differential topology
28,Mathematical analysis,Differential topology
29,C*-algebra,Differential topology
30,Discrete mathematics,Differential topology
31,Differential topology,Functional analysis
32,Probability theory,Differential topology
33,Partial differential equation,Differential topology
34,Differential topology,Differential geometry
35,Metric (mathematics),Differential topology
36,Commutative algebra,Differential topology
37,Wavelet,Differential topology
38,Differential topology,Topology
39,Numerical linear algebra,Differential topology
40,Numerical analysis,Differential topology
41,Computability theory,Differential topology
42,Number theory,Differential topology
43,Differential topology,Topological space
44,Vector calculus,Differential topology
46,Trigonometry,Abstract algebra
47,Von Neumann algebra,Abstract algebra
48,Abstract algebra,Linear algebra
49,Linear programming,Abstract algebra
50,Analytic geometry,Abstract algebra
51,Ordinary differential equation,Abstract algebra
52,Abstract algebra,Approximation theory
53,Multivariable calculus,Abstract algebra
54,Lie theory,Abstract algebra
55,Fourier analysis,Abstract algebra
56,Abstract algebra,Differential equation
57,Finite element method,Abstract algebra
58,Abstract algebra,Complex analysis
59,Statistics,Abstract algebra
60,Mathematical logic,Abstract algebra
61,Group theory,Abstract algebra
62,Abstract algebra,Algebraic number theory
63,Field (mathematics),Abstract algebra
64,Abstract algebra,Calculus
65,Differentiable manifold,Abstract algebra
66,Stochastic process,Abstract algebra
67,Analytical mechanics,Abstract algebra
68,Abstract algebra,Algebra
69,Analytic number theory,Abstract algebra
70,Ergodic theory,Abstract algebra
71,Mathematical statistics,Abstract algebra
72,Matrix (mathematics),Abstract algebra
73,Abstract algebra,Fourier series
74,Mathematical model,Abstract algebra
75,Abstract algebra,Mathematical analysis
76,Abstract algebra,Algebraic geometry
77,C*-algebra,Abstract algebra
78,Abstract algebra,Real analysis
79,Abstract algebra,Orthogonal polynomials
80,Discrete mathematics,Abstract algebra
81,Abstract algebra,Functional analysis
82,Partial differential equation,Abstract algebra
83,Abstract algebra,Differential geometry
84,Metric (mathematics),Abstract algebra
85,Commutative algebra,Abstract algebra
86,Wavelet,Abstract algebra
87,Abstract algebra,Topology
88,Numerical linear algebra,Abstract algebra
89,Abstract algebra,Numerical analysis
90,Computability theory,Abstract algebra
91,Abstract algebra,Number theory
92,Topological space,Abstract algebra
93,Vector calculus,Abstract algebra
96,Trigonometry,Linear algebra
97,Trigonometry,Linear programming
98,Trigonometry,Analytic geometry
99,Trigonometry,Ordinary differential equation
100,Trigonometry,Approximation theory
101,Trigonometry,Multivariable calculus
102,Trigonometry,Fourier analysis
103,Trigonometry,Differential equation
104,Trigonometry,Finite element method
105,Trigonometry,Complex analysis
106,Trigonometry,Statistics
107,Trigonometry,Mathematical logic
108,Trigonometry,Group theory
109,Trigonometry,Algebraic number theory
110,Trigonometry,Field (mathematics)
111,Trigonometry,Calculus
112,Trigonometry,Differentiable manifold
113,Trigonometry,Stochastic process
114,Trigonometry,Analytical mechanics
115,Trigonometry,Algebra
116,Trigonometry,Analytic number theory
117,Trigonometry,Ergodic theory
118,Trigonometry,Mathematical statistics
119,Trigonometry,Matrix (mathematics)
120,Trigonometry,Fourier series
121,Trigonometry,Mathematical model
122,Trigonometry,Mathematical analysis
123,Trigonometry,Algebraic geometry
124,Trigonometry,C*-algebra
125,Trigonometry,Real analysis
126,Trigonometry,Orthogonal polynomials
127,Trigonometry,Discrete mathematics
128,Trigonometry,Functional analysis
129,Trigonometry,Probability theory
130,Trigonometry,Partial differential equation
131,Trigonometry,Differential geometry
132,Trigonometry,Metric (mathematics)
133,Trigonometry,Commutative algebra
134,Trigonometry,Wavelet
135,Trigonometry,Topology
136,Trigonometry,Numerical linear algebra
137,Trigonometry,Numerical analysis
138,Trigonometry,Computability theory
139,Trigonometry,Number theory
140,Trigonometry,Topological space
141,Trigonometry,Vector calculus
144,Von Neumann algebra,Linear algebra
145,Von Neumann algebra,Analytic geometry
146,Von Neumann algebra,Ordinary differential equation
147,Von Neumann algebra,Approximation theory
148,Von Neumann algebra,Lie theory
149,Von Neumann algebra,Fourier analysis
150,Von Neumann algebra,Differential equation
151,Von Neumann algebra,Complex analysis
152,Von Neumann algebra,Statistics
153,Von Neumann algebra,Mathematical logic
154,Von Neumann algebra,Group theory
155,Von Neumann algebra,Algebraic number theory
156,Von Neumann algebra,Field (mathematics)
157,Von Neumann algebra,Calculus
158,Von Neumann algebra,Differentiable manifold
159,Von Neumann algebra,Stochastic process
160,Von Neumann algebra,Algebra
161,Von Neumann algebra,Analytic number theory
162,Von Neumann algebra,Ergodic theory
163,Von Neumann algebra,Mathematical statistics
164,Von Neumann algebra,Matrix (mathematics)
165,Von Neumann algebra,Mathematical analysis
166,Von Neumann algebra,Algebraic geometry
167,Von Neumann algebra,C*-algebra
168,Von Neumann algebra,Real analysis
169,Von Neumann algebra,Discrete mathematics
170,Von Neumann algebra,Functional analysis
171,Von Neumann algebra,Probability theory
172,Von Neumann algebra,Partial differential equation
173,Von Neumann algebra,Differential geometry
174,Von Neumann algebra,Metric (mathematics)
175,Von Neumann algebra,Commutative algebra
176,Von Neumann algebra,Topology
177,Von Neumann algebra,Numerical linear algebra
178,Von Neumann algebra,Numerical analysis
179,Von Neumann algebra,Computability theory
180,Von Neumann algebra,Number theory
181,Von Neumann algebra,Topological space
186,Linear programming,Linear algebra
187,Analytic geometry,Linear algebra
188,Ordinary differential equation,Linear algebra
189,Linear algebra,Approximation theory
190,Multivariable calculus,Linear algebra
191,Lie theory,Linear algebra
192,Fourier analysis,Linear algebra
193,Differential equation,Linear algebra
194,Finite element method,Linear algebra
195,Complex analysis,Linear algebra
196,Statistics,Linear algebra
197,Mathematical logic,Linear algebra
198,Group theory,Linear algebra
199,Algebraic number theory,Linear algebra
200,Field (mathematics),Linear algebra
201,Differentiable manifold,Linear algebra
202,Stochastic process,Linear algebra
203,Analytical mechanics,Linear algebra
204,Linear algebra,Algebra
205,Analytic number theory,Linear algebra
206,Ergodic theory,Linear algebra
207,Mathematical statistics,Linear algebra
208,Matrix (mathematics),Linear algebra
209,Linear algebra,Fourier series
210,Mathematical model,Linear algebra
211,Linear algebra,Mathematical analysis
212,Linear algebra,Algebraic geometry
213,C*-algebra,Linear algebra
214,Linear algebra,Real analysis
215,Linear algebra,Orthogonal polynomials
216,Discrete mathematics,Linear algebra
217,Linear algebra,Functional analysis
218,Probability theory,Linear algebra
219,Partial differential equation,Linear algebra
220,Linear algebra,Differential geometry
221,Metric (mathematics),Linear algebra
222,Commutative algebra,Linear algebra
223,Wavelet,Linear algebra
224,Linear algebra,Topology
225,Numerical linear algebra,Linear algebra
226,Computability theory,Linear algebra
227,Linear algebra,Number theory
228,Topological space,Linear algebra
229,Vector calculus,Linear algebra
234,Linear programming,Analytic geometry
235,Lie theory,Linear programming
