,topic_a,topic_b
0,Algorithm design,Computer network
1,Broadband networks,Algorithm design
2,Algorithm design,Programming language
3,Data integration,Algorithm design
4,Game theory,Algorithm design
5,Algorithm design,Modeling language
6,Discrete mathematics,Algorithm design
7,Microarchitecture,Algorithm design
8,Distributed object,Algorithm design
9,Assembly language,Algorithm design
10,Operating system,Algorithm design
11,Software architecture,Algorithm design
12,Software project management,Algorithm design
13,Software development,Algorithm design
14,Internet protocol suite,Algorithm design
15,Cloud computing,Algorithm design
16,Object-oriented analysis and design,Algorithm design
17,Parallel computing,Algorithm design
18,Analysis of algorithms,Algorithm design
19,Computational linguistics,Algorithm design
20,Software engineering,Algorithm design
21,Social network analysis,Algorithm design
22,Software metric,Algorithm design
23,Software testing,Algorithm design
24,Network security,Algorithm design
25,Algorithm design,Computer graphics
26,Theory of computation,Algorithm design
27,Algorithm design,Compiler construction
28,Computer-aided software engineering,Algorithm design
29,Combinatorial optimization,Algorithm design
30,Robotics,Algorithm design
31,Computer architecture,Algorithm design
32,Algorithm design,Computational geometry
33,Test automation,Algorithm design
34,Distributed computing,Algorithm design
35,Network service,Algorithm design
36,Data-intensive computing,Algorithm design
37,Knowledge management,Algorithm design
38,Natural language processing,Algorithm design
39,Algorithm design,Data structure
40,Computer security,Algorithm design
41,Information retrieval,Algorithm design
42,Data warehouse,Algorithm design
43,Graphical model,Algorithm design
44,Software analytics,Algorithm design
45,Information security,Algorithm design
46,System programming,Algorithm design
47,Data mining,Algorithm design
48,Cryptography,Algorithm design
49,Object-oriented programming,Algorithm design
50,Algorithm design,Artificial intelligence
51,Algorithm design,Algorithm
52,Algorithm design,Database
53,Computer vision,Algorithm design
54,Wireless network,Algorithm design
55,Mobile application development,Algorithm design
56,Algorithm design,Computer network
57,Broadband networks,Computer network
58,Computer network,Programming language
59,Computer network,Information management
60,Data integration,Computer network
61,Game theory,Computer network
62,Modeling language,Computer network
63,Discrete mathematics,Computer network
64,Microarchitecture,Computer network
65,Computer network,Translator (computing)
66,Distributed object,Computer network
67,Assembly language,Computer network
68,Operating system,Computer network
69,Software architecture,Computer network
70,Software project management,Computer network
71,Software development,Computer network
72,Internet protocol suite,Computer network
73,Cloud computing,Computer network
74,Object-oriented analysis and design,Computer network
75,Parallel computing,Computer network
76,Analysis of algorithms,Computer network
77,Computational linguistics,Computer network
78,Computer network,Object-oriented design
79,Software engineering,Computer network
80,Social network analysis,Computer network
81,Software metric,Computer network
82,Software testing,Computer network
83,Network security,Computer network
84,Computer graphics,Computer network
85,Computer network,Theory of computation
86,Computer network,Compiler construction
87,Computer-aided software engineering,Computer network
88,Combinatorial optimization,Computer network
89,Robotics,Computer network
90,Computer architecture,Computer network
91,Computational geometry,Computer network
92,Test automation,Computer network
93,Distributed computing,Computer network
94,Network service,Computer network
95,Data-intensive computing,Computer network
96,Knowledge management,Computer network
97,Natural language processing,Computer network
98,Machine learning,Computer network
99,Data structure,Computer network
100,Computer security,Computer network
101,Information retrieval,Computer network
102,Data warehouse,Computer network
103,Graphical model,Computer network
104,Software analytics,Computer network
105,Information security,Computer network
106,System programming,Computer network
107,Data mining,Computer network
108,Cryptography,Computer network
109,Object-oriented programming,Computer network
110,Artificial intelligence,Computer network
111,Computer network,Algorithm
112,Database,Computer network
113,Computer vision,Computer network
114,Wireless network,Computer network
115,Mobile application development,Computer network
116,Broadband networks,Algorithm design
117,Broadband networks,Computer network
118,Broadband networks,Programming language
119,Broadband networks,Modeling language
120,Broadband networks,Discrete mathematics
121,Broadband networks,Operating system
122,Broadband networks,Software development
123,Broadband networks,Parallel computing
124,Broadband networks,Analysis of algorithms
125,Broadband networks,Social network analysis
126,Broadband networks,Network security
127,Broadband networks,Computer graphics
128,Broadband networks,Theory of computation
129,Broadband networks,Compiler construction
130,Broadband networks,Combinatorial optimization
131,Broadband networks,Computer architecture
132,Broadband networks,Computational geometry
133,Broadband networks,Distributed computing
134,Broadband networks,Network service
135,Broadband networks,Natural language processing
136,Broadband networks,Machine learning
137,Broadband networks,Computer security
138,Broadband networks,Information retrieval
139,Broadband networks,Information security
140,Broadband networks,Data mining
141,Broadband networks,Cryptography
142,Broadband networks,Artificial intelligence
143,Broadband networks,Algorithm
144,Broadband networks,Database
145,Broadband networks,Computer vision
146,Broadband networks,Wireless network
147,Algorithm design,Programming language
148,Computer network,Programming language
149,Broadband networks,Programming language
150,Programming language,Information management
151,Data integration,Programming language
152,Game theory,Programming language
153,Modeling language,Programming language
154,Discrete mathematics,Programming language
155,Microarchitecture,Programming language
156,Translator (computing),Programming language
157,Distributed object,Programming language
158,Assembly language,Programming language
159,Operating system,Programming language
160,Software architecture,Programming language
161,Software project management,Programming language
162,Software development,Programming language
163,Internet protocol suite,Programming language
164,Cloud computing,Programming language
165,Object-oriented analysis and design,Programming language
166,Parallel computing,Programming language
167,Analysis of algorithms,Programming language
168,Computational linguistics,Programming language
169,Programming language,Object-oriented design
170,Software engineering,Programming language
171,Social network analysis,Programming language
172,Software metric,Programming language
173,Software testing,Programming language
174,Network security,Programming language
175,Computer graphics,Programming language
176,Theory of computation,Programming language
177,Compiler construction,Programming language
178,Computer-aided software engineering,Programming language
179,Combinatorial optimization,Programming language
180,Robotics,Programming language
181,Computer architecture,Programming language
182,Computational geometry,Programming language
183,Test automation,Programming language
184,Distributed computing,Programming language
185,Network service,Programming language
186,Data-intensive computing,Programming language
187,Knowledge management,Programming language
188,Natural language processing,Programming language
189,Machine learning,Programming language
190,Data structure,Programming language
191,Computer security,Programming language
192,Information retrieval,Programming language
193,Data warehouse,Programming language
194,Graphical model,Programming language
195,Software analytics,Programming language
196,Information security,Programming language
197,System programming,Programming language
198,Data mining,Programming language
199,Cryptography,Programming language
200,Object-oriented programming,Programming language
201,Artificial intelligence,Programming language
202,Algorithm,Programming language
203,Database,Programming language
204,Computer vision,Programming language
205,Wireless network,Programming language
206,Mobile application development,Programming language
207,Computer network,Information management
208,Programming language,Information management
209,Information management,Data integration
210,Operating system,Information management
211,Software architecture,Information management
212,Software development,Information management
213,Analysis of algorithms,Information management
214,Information management,Computational linguistics
215,Software engineering,Information management
216,Information management,Social network analysis
217,Software testing,Information management
218,Computer-aided software engineering,Information management
219,Computer architecture,Information management
220,Computational geometry,Information management
221,Network service,Information management
222,Information management,Knowledge management
223,Machine learning,Information management
224,Information management,Data structure
225,Computer security,Information management
226,Information management,Information retrieval
227,Information management,Data warehouse
228,Information security,Information management
229,Information management,Data mining
230,Object-oriented programming,Information management
231,Artificial intelligence,Information management
232,Information management,Database
233,Data integration,Algorithm design
234,Data integration,Computer network
235,Data integration,Programming language
236,Information management,Data integration
237,Data integration,Modeling language
238,Data integration,Discrete mathematics
239,Data integration,Operating system
240,Data integration,Software development
241,Data integration,Cloud computing
242,Data integration,Parallel computing
243,Data integration,Analysis of algorithms
244,Computational linguistics,Data integration
245,Software engineering,Data integration
246,Social network analysis,Data integration
247,Software testing,Data integration
248,Data integration,Network security
249,Data integration,Computer graphics
250,Data integration,Theory of computation
251,Data integration,Compiler construction
252,Data integration,Computer architecture
253,Data integration,Computational geometry
254,Data integration,Distributed computing
255,Data integration,Network service
256,Data-intensive computing,Data integration
257,Data integration,Knowledge management
258,Data integration,Natural language processing
259,Data integration,Machine learning
260,Data integration,Data structure
261,Data integration,Computer security
262,Data integration,Information retrieval
263,Data integration,Data warehouse
264,Data integration,Graphical model
265,Software analytics,Data integration
266,Data integration,Information security
267,Data integration,Data mining
268,Data integration,Cryptography
269,Data integration,Object-oriented programming
270,Data integration,Artificial intelligence
271,Data integration,Algorithm
