,Unnamed: 0,topic_a,topic_b,relation,tfidf_score,wiki_tfidf_score
0,0,Magnetic field,Inertial frame of reference,0,0.09936833227257064,0.0
1,1,Gravitational acceleration,Position (vector),1,0.1559581156259877,0.0
2,2,Energy,Planet,0,0.1081169981224719,0.1081169981224719
3,3,Mechanical energy,Gravitational field,0,0.04527560772496389,0.04527560772496389
4,4,Physics,Electric potential energy,0,0.0,0.0
5,5,Newton's laws of motion,Motion,0,0.06982639565099559,0.06982639565099559
6,6,Motion graphs and derivatives,Acceleration,0,0.017445636587458516,0.017445636587458516
7,7,Speed,Length,0,0.09014906328800673,0.09014906328800673
8,8,Energy,Intensity (physics),0,0.0,0.0
9,9,Snell's law,Refractive index,1,0.0,0.0
10,10,Hooke's law,Work (physics),0,0.02383637338366331,0.0
11,11,Acceleration,Displacement (vector),1,0.1559581156259877,0.0
12,12,Physics,Collision,0,0.0,0.0
13,13,Electron,Mechanical energy,0,0.09936833227257064,0.0
14,14,Mass,Wave,0,0.0,0.0
15,15,Potential energy,Gravity,0,0.05926413230416978,0.05926413230416978
16,16,Refractive index,Electric field,0,0.0,0.0
17,17,Hardness,Elasticity (physics),1,0.0,0.0
18,18,Photoelectric effect,Collision,0,0.050251661217956566,0.050251661217956566
19,19,Refractive index,Reflection (physics),0,0.1049103502731737,0.0
20,20,Shock wave,Wave,1,0.2390634236162335,0.2390634236162335
21,21,Projectile motion,Gravity,1,0.1081169981224719,0.1081169981224719
22,22,Non-inertial reference frame,Frame of reference,1,1.07418125314004,1.07418125314004
23,23,Diffraction,Field (physics),0,0.16224246582974208,0.0
24,24,Intensity (physics),Energy,1,0.2548591832092004,0.2548591832092004
25,25,Electrical conductor,Electromagnetic spectrum,0,0.0,0.0
26,26,Magnetic field,Velocity,0,0.11645191586955328,0.11645191586955328
27,27,Crest (physics),Doppler effect,0,0.0,0.0
28,28,Wave,Reflection (physics),0,0.0,0.0
29,29,Energy,Collision,0,0.0,0.0
30,30,Sound intensity,Wave,0,0.25382042507402564,0.25382042507402564
31,31,Refractive index,Scattering,0,0.0,0.0
32,32,Physics,Stiffness,0,0.0,0.0
33,33,Magnetic field,Relative velocity,0,0.0,0.0
